2024-05-08 19:14:14 | INFO | stdout | /mnt/bn/vl-research/workspace/boli01/projects/demos
2024-05-08 19:14:14 | INFO | gradio_web_server | args: Namespace(host='0.0.0.0', port=None, controller_url='http://localhost:50010', concurrency_count=16, model_list_mode='once', share=False, moderate=False, embed=False)
2024-05-08 19:14:14 | INFO | gradio_web_server | Models: ['llava-next-72b']
2024-05-08 19:14:14 | INFO | gradio_web_server | Namespace(host='0.0.0.0', port=None, controller_url='http://localhost:50010', concurrency_count=16, model_list_mode='once', share=False, moderate=False, embed=False)
2024-05-08 19:14:15 | INFO | stdout | Running on local URL:  http://0.0.0.0:7860
2024-05-08 19:14:16 | INFO | stdout | 
2024-05-08 19:14:16 | INFO | stdout | To create a public link, set `share=True` in `launch()`.
2024-05-08 19:14:24 | INFO | gradio_web_server | http_bot. ip: 124.246.66.198
2024-05-08 19:14:24 | ERROR | stderr | Traceback (most recent call last):
2024-05-08 19:14:24 | ERROR | stderr |   File "/home/tiger/miniconda3/envs/sglang/lib/python3.10/site-packages/gradio/queueing.py", line 527, in process_events
2024-05-08 19:14:24 | ERROR | stderr |     response = await route_utils.call_process_api(
2024-05-08 19:14:24 | ERROR | stderr |   File "/home/tiger/miniconda3/envs/sglang/lib/python3.10/site-packages/gradio/route_utils.py", line 270, in call_process_api
2024-05-08 19:14:24 | ERROR | stderr |     output = await app.get_blocks().process_api(
2024-05-08 19:14:24 | ERROR | stderr |   File "/home/tiger/miniconda3/envs/sglang/lib/python3.10/site-packages/gradio/blocks.py", line 1847, in process_api
2024-05-08 19:14:24 | ERROR | stderr |     result = await self.call_function(
2024-05-08 19:14:24 | ERROR | stderr |   File "/home/tiger/miniconda3/envs/sglang/lib/python3.10/site-packages/gradio/blocks.py", line 1445, in call_function
2024-05-08 19:14:24 | ERROR | stderr |     prediction = await utils.async_iteration(iterator)
2024-05-08 19:14:24 | ERROR | stderr |   File "/home/tiger/miniconda3/envs/sglang/lib/python3.10/site-packages/gradio/utils.py", line 629, in async_iteration
2024-05-08 19:14:24 | ERROR | stderr |     return await iterator.__anext__()
2024-05-08 19:14:24 | ERROR | stderr |   File "/home/tiger/miniconda3/envs/sglang/lib/python3.10/site-packages/gradio/utils.py", line 622, in __anext__
2024-05-08 19:14:24 | ERROR | stderr |     return await anyio.to_thread.run_sync(
